parent_child,unrelated
0.53,0.343
0.532,0.318
0.503,0.328
0.505,0.343
0.489,0.352
0.515,0.34
0.505,0.337
0.522,0.372
0.519,0.315
0.497,0.33
0.517,0.332
0.519,0.348
0.492,0.352
0.523,0.324
0.513,0.346
0.486,0.312
0.481,0.344
0.484,0.301
0.469,0.343
0.512,0.327
0.465,0.333
0.491,0.335
0.502,0.337
0.488,0.337
0.496,0.351
0.52,0.324
0.481,0.358
0.477,0.323
0.502,0.312
0.516,0.337
0.491,0.372
0.49,0.342
0.482,0.322
0.492,0.332
0.511,0.331
0.503,0.367
0.491,0.349
0.488,0.33
0.476,0.348
0.494,0.338
0.502,0.318
0.504,0.319
0.487,0.344
0.486,0.324
0.514,0.336
0.499,0.305
0.48,0.353
0.53,0.34
0.527,0.342
0.495,0.325
0.527,0.336
0.496,0.337
0.489,0.325
0.495,0.328
0.506,0.323
0.515,0.33
0.506,0.34
0.514,0.318
0.479,0.337
0.515,0.345
0.51,0.344
0.505,0.342
0.512,0.34
0.512,0.355
0.554,0.341
0.466,0.33
0.515,0.348
0.476,0.331
0.492,0.335
0.508,0.354
0.479,0.318
0.487,0.326
0.486,0.328
0.515,0.336
0.502,0.336
0.523,0.337
0.477,0.32
0.462,0.354
0.506,0.331
0.51,0.332
0.486,0.338
0.504,0.353
0.491,0.339
0.493,0.351
0.499,0.329
0.524,0.339
0.496,0.358
0.499,0.333
0.483,0.348
0.508,0.321
0.486,0.342
0.488,0.33
0.478,0.327
0.471,0.329
0.498,0.349
0.477,0.333
0.493,0.333
0.5,0.344
0.516,0.342
0.515,0.326
0.489,0.339
0.486,0.341
0.503,0.352
0.507,0.351
0.51,0.301
0.495,0.325
0.495,0.353
0.495,0.35
0.495,0.305
0.503,0.342
0.485,0.349
0.535,0.332
0.537,0.321
0.498,0.344
0.505,0.326
0.51,0.316
0.522,0.339
0.504,0.307
0.512,0.28
0.518,0.321
0.503,0.323
0.485,0.333
0.486,0.326
0.496,0.332
0.503,0.359
0.5,0.343
0.487,0.34
0.501,0.329
0.516,0.337
0.513,0.334
0.461,0.321
0.5,0.349
0.499,0.36
0.501,0.356
0.5,0.321
0.483,0.334
0.502,0.336
0.504,0.339
0.522,0.346
0.492,0.33
0.502,0.352
0.521,0.332
0.492,0.331
0.517,0.332
0.499,0.322
0.522,0.346
0.503,0.332
0.493,0.307
0.505,0.332
0.487,0.333
0.537,0.344
0.484,0.3
0.501,0.316
0.516,0.342
0.511,0.345
0.475,0.321
0.487,0.34
0.496,0.299
0.498,0.343
0.494,0.318
0.473,0.318
0.506,0.334
0.494,0.297
0.512,0.34
0.5,0.35
0.505,0.318
0.521,0.302
0.53,0.337
0.51,0.335
0.506,0.304
0.465,0.349
0.493,0.346
0.513,0.359
0.526,0.354
0.51,0.342
0.486,0.343
0.502,0.341
0.5,0.339
0.507,0.323
0.503,0.334
0.532,0.325
0.485,0.321
0.502,0.357
0.473,0.342
0.497,0.318
0.489,0.344
0.489,0.331
0.503,0.362
0.512,0.321
0.51,0.33
0.48,0.35
0.483,0.312
0.51,0.328
0.501,0.313
0.507,0.349
0.502,0.334
0.505,0.329
0.485,0.333
0.498,0.327
0.498,0.314
0.492,0.357
0.518,0.332
0.497,0.341
0.495,0.304
0.504,0.326
0.454,0.333
0.492,0.337
0.486,0.34
0.484,0.322
0.498,0.323
0.506,0.339
0.488,0.321
0.526,0.331
0.512,0.316
0.484,0.324
0.502,0.326
0.467,0.338
0.515,0.35
0.493,0.321
0.495,0.331
0.504,0.306
0.472,0.338
0.508,0.342
0.489,0.347
0.509,0.336
0.476,0.332
0.49,0.323
0.51,0.33
0.503,0.363
0.508,0.333
0.51,0.323
0.501,0.339
0.488,0.315
0.514,0.305
0.498,0.343
0.482,0.343
0.515,0.31
0.502,0.353
0.501,0.349
0.516,0.347
0.483,0.327
0.472,0.311
0.498,0.338
0.492,0.339
0.503,0.343
0.516,0.318
0.495,0.347
0.508,0.334
0.532,0.342
0.491,0.336
0.5,0.342
0.517,0.341
0.489,0.323
0.478,0.329
0.501,0.346
0.525,0.351
0.485,0.347
