siblings,unrelated
0.726,0.319
0.707,0.326
0.715,0.34
0.702,0.326
0.708,0.323
0.735,0.34
0.708,0.343
0.751,0.35
0.695,0.343
0.687,0.33
0.706,0.332
0.728,0.341
0.716,0.324
0.714,0.336
0.714,0.338
0.723,0.332
0.71,0.349
0.734,0.328
0.72,0.328
0.704,0.334
0.689,0.344
0.743,0.357
0.681,0.354
0.717,0.337
0.68,0.363
0.688,0.328
0.72,0.346
0.707,0.309
0.719,0.329
0.692,0.347
0.715,0.312
0.713,0.362
0.719,0.319
0.7,0.324
0.702,0.345
0.69,0.314
0.703,0.333
0.736,0.357
0.726,0.329
0.711,0.362
0.701,0.34
0.736,0.34
0.707,0.343
0.708,0.343
0.685,0.321
0.707,0.329
0.686,0.312
0.72,0.344
0.725,0.316
0.71,0.318
0.704,0.351
0.676,0.317
0.709,0.324
0.683,0.316
0.72,0.309
0.71,0.361
0.709,0.35
0.702,0.353
0.72,0.343
0.69,0.321
0.704,0.32
0.737,0.328
0.707,0.335
0.719,0.342
0.707,0.319
0.722,0.335
0.727,0.319
0.696,0.348
0.737,0.353
0.706,0.361
0.708,0.308
0.742,0.304
0.713,0.37
0.729,0.33
0.724,0.337
0.711,0.336
0.708,0.335
0.701,0.304
0.698,0.336
0.692,0.348
0.698,0.331
0.702,0.344
0.7,0.33
0.686,0.298
0.719,0.333
0.712,0.343
0.708,0.342
0.72,0.319
0.713,0.309
0.688,0.316
0.681,0.341
0.723,0.338
0.71,0.32
0.721,0.33
0.715,0.327
0.703,0.327
0.708,0.306
0.686,0.336
0.715,0.338
0.703,0.336
0.724,0.327
0.694,0.335
0.691,0.326
0.715,0.322
0.719,0.363
0.711,0.339
0.717,0.362
0.702,0.327
0.696,0.335
0.706,0.337
0.701,0.359
0.734,0.33
0.672,0.312
0.702,0.332
0.715,0.325
0.726,0.331
0.7,0.323
0.706,0.333
0.723,0.322
0.703,0.326
0.7,0.328
0.726,0.321
0.684,0.341
0.708,0.343
0.721,0.341
0.708,0.34
0.699,0.324
0.715,0.316
0.716,0.331
0.721,0.335
0.708,0.31
0.703,0.337
0.721,0.331
0.71,0.351
0.714,0.371
0.694,0.353
0.706,0.339
0.699,0.344
0.721,0.318
0.703,0.293
0.718,0.359
0.702,0.356
0.698,0.328
0.684,0.332
0.715,0.293
0.714,0.325
0.686,0.326
0.71,0.347
0.717,0.335
0.713,0.337
0.711,0.358
0.724,0.323
0.719,0.328
0.725,0.321
0.722,0.317
0.685,0.336
0.707,0.334
0.719,0.32
0.698,0.335
0.71,0.328
0.714,0.344
0.672,0.321
0.685,0.345
0.71,0.328
0.703,0.324
0.692,0.306
0.719,0.349
0.707,0.366
0.715,0.346
0.703,0.339
0.716,0.322
0.716,0.329
0.701,0.342
0.71,0.319
0.69,0.323
0.72,0.327
0.72,0.349
0.706,0.334
0.708,0.344
0.708,0.354
0.691,0.348
0.713,0.345
0.713,0.326
0.698,0.328
0.711,0.352
0.679,0.33
0.706,0.333
0.735,0.329
0.698,0.315
0.728,0.326
0.703,0.302
0.685,0.34
0.682,0.347
0.711,0.35
0.696,0.354
0.698,0.325
0.666,0.322
0.715,0.319
0.712,0.335
0.701,0.34
0.711,0.34
0.687,0.344
0.704,0.326
0.691,0.327
0.698,0.309
0.718,0.333
0.725,0.34
0.71,0.328
0.703,0.346
0.717,0.333
0.727,0.364
0.689,0.338
0.711,0.31
0.721,0.345
0.731,0.336
0.704,0.305
0.723,0.33
0.729,0.348
0.712,0.352
0.709,0.344
0.702,0.32
0.706,0.34
0.719,0.328
0.708,0.338
0.71,0.329
0.724,0.339
0.713,0.349
0.712,0.353
0.703,0.328
0.681,0.318
0.744,0.332
0.702,0.314
0.705,0.318
0.707,0.309
0.707,0.339
0.687,0.343
0.726,0.343
0.699,0.356
0.712,0.35
0.713,0.338
0.7,0.352
0.695,0.31
0.711,0.322
0.698,0.335
0.724,0.323
0.702,0.31
0.694,0.33
0.703,0.325
0.728,0.345
0.692,0.314
0.713,0.341
0.715,0.328
0.71,0.333
0.721,0.322
0.696,0.351
0.689,0.372
0.69,0.377
0.69,0.333
0.712,0.323
0.717,0.334
0.706,0.315
0.719,0.328
0.669,0.326
0.705,0.348
0.721,0.347
0.706,0.351
0.681,0.334
0.714,0.358
0.696,0.346
0.721,0.314
0.709,0.328
0.704,0.321
0.708,0.319
0.738,0.357
0.713,0.336
0.719,0.326
0.722,0.322
0.686,0.33
0.683,0.359
0.719,0.337
0.702,0.342
0.715,0.325
0.721,0.352
0.704,0.33
0.697,0.347
0.707,0.322
0.706,0.339
0.702,0.336
0.71,0.323
0.698,0.363
0.714,0.307
0.729,0.33
0.694,0.328
0.701,0.333
0.69,0.344
0.702,0.346
0.689,0.313
0.702,0.337
0.71,0.347
0.695,0.345
0.735,0.338
0.71,0.322
0.705,0.332
0.733,0.33
0.715,0.338
0.705,0.326
0.703,0.344
0.695,0.311
0.716,0.345
0.72,0.326
0.696,0.33
0.72,0.288
0.699,0.336
0.715,0.347
0.701,0.319
0.708,0.335
0.717,0.32
0.717,0.321
0.702,0.304
0.719,0.324
0.702,0.322
0.73,0.347
0.721,0.335
0.698,0.356
0.687,0.342
0.702,0.319
0.673,0.351
0.705,0.364
0.701,0.336
0.732,0.314
0.704,0.311
0.724,0.348
0.681,0.332
0.733,0.34
0.698,0.324
0.712,0.346
0.729,0.326
0.716,0.338
0.697,0.336
0.713,0.339
0.731,0.318
0.699,0.367
0.711,0.33
0.71,0.339
0.697,0.329
0.735,0.341
0.695,0.337
0.707,0.321
0.712,0.313
0.706,0.34
0.678,0.306
0.708,0.326
0.713,0.323
0.714,0.331
0.7,0.323
0.709,0.319
0.703,0.313
0.716,0.326
0.702,0.34
0.717,0.324
0.692,0.313
0.712,0.331
0.713,0.365
0.71,0.344
0.712,0.352
0.713,0.331
0.722,0.328
0.714,0.338
0.732,0.334
0.712,0.339
0.7,0.34
0.708,0.338
0.706,0.345
0.691,0.343
0.705,0.343
0.72,0.319
0.716,0.291
0.69,0.301
0.701,0.352
0.693,0.344
0.693,0.327
0.703,0.312
0.72,0.337
0.727,0.323
0.717,0.347
0.734,0.319
0.707,0.341
0.712,0.318
0.705,0.325
0.721,0.293
0.734,0.352
0.723,0.334
0.705,0.338
0.707,0.318
0.723,0.318
0.709,0.328
0.69,0.35
0.737,0.329
0.68,0.365
0.705,0.299
0.702,0.352
0.72,0.323
0.731,0.319
0.707,0.341
0.715,0.324
0.717,0.318
0.694,0.312
0.698,0.34
0.717,0.333
0.708,0.351
0.714,0.334
0.711,0.331
0.684,0.332
0.7,0.334
0.7,0.337
0.725,0.331
0.718,0.3
0.715,0.336
0.705,0.35
0.711,0.332
0.723,0.357
0.713,0.317
0.698,0.319
0.68,0.338
0.664,0.336
0.689,0.334
0.713,0.335
0.712,0.347
0.711,0.337
0.705,0.307
0.715,0.341
0.697,0.345
0.685,0.351
0.683,0.319
0.688,0.323
0.696,0.336
0.716,0.355
0.717,0.32
0.737,0.327
0.726,0.337
0.711,0.325
0.728,0.357
0.671,0.338
0.711,0.326
0.72,0.338
0.713,0.344
0.721,0.341
0.705,0.329
0.713,0.312
0.689,0.339
0.71,0.325
0.689,0.306
0.687,0.359
0.716,0.323
0.716,0.322
0.694,0.341
0.717,0.314
0.714,0.328
0.698,0.353
0.705,0.318
0.724,0.33
0.707,0.322
0.685,0.339
0.71,0.322
0.681,0.342
0.706,0.335
0.724,0.32
0.714,0.309
0.711,0.335
0.713,0.349
0.693,0.33
0.713,0.327
0.696,0.33
0.713,0.358
0.68,0.328
0.699,0.324
